ReferenceAllele,AlternateAllele,Chromosome,Start,Stop,GeneSymbol,ClinicalSignificance,PhenotypeList,Type,Assembly
na,na,7,4820844,4820847,AP5Z1,Pathogenic/Likely pathogenic,Hereditary spastic paraplegia 48|Macular dystrophy with or without extraocular features|not provided,Indel,GRCh37
na,na,7,4781213,4781216,AP5Z1,Pathogenic/Likely pathogenic,Hereditary spastic paraplegia 48|Macular dystrophy with or without extraocular features|not provided,Indel,GRCh38
na,na,7,4827361,4827374,AP5Z1,Pathogenic,Hereditary spastic paraplegia 48,Deletion,GRCh37
na,na,7,4787730,4787743,AP5Z1,Pathogenic,Hereditary spastic paraplegia 48,Deletion,GRCh38
na,na,15,85342440,85342440,ZNF592,Uncertain significance,Galloway-Mowat syndrome 1,single nucleotide variant,GRCh37
na,na,15,84799209,84799209,ZNF592,Uncertain significance,Galloway-Mowat syndrome 1,single nucleotide variant,GRCh38
na,na,11,126145284,126145284,FOXRED1,Pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19|not provided|Leigh syndrome|FOXRED1-related disorder",single nucleotide variant,GRCh37
na,na,11,126275389,126275389,FOXRED1,Pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19|not provided|Leigh syndrome|FOXRED1-related disorder",single nucleotide variant,GRCh38
na,na,11,126147412,126147412,FOXRED1,Likely pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19",single nucleotide variant,GRCh37
na,na,11,126277517,126277517,FOXRED1,Likely pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19",single nucleotide variant,GRCh38
na,na,14,32031331,32031331,NUBPL,Conflicting classifications of pathogenicity,"not provided|Inborn genetic diseases|not specified|Mitochondrial complex 1 deficiency, nuclear type 21",single nucleotide variant,GRCh37
na,na,14,31562125,31562125,NUBPL,Conflicting classifications of pathogenicity,"not provided|Inborn genetic diseases|not specified|Mitochondrial complex 1 deficiency, nuclear type 21",single nucleotide variant,GRCh38
na,na,6,26093141,26093141,HFE,"Pathogenic/Pathogenic, low penetrance; other; risk factor",Hemochromatosis type 1|not provided|Hereditary cancer-predisposing syndrome|Hereditary hemochromatosis|Porphyrinuria;Cutaneous photosensitivity|Bronze diabetes|7 conditions|Cardiomyopathy|HFE-related disorder|Inborn genetic diseases|6 conditions|Juvenile hemochromatosis,single nucleotide variant,GRCh37
na,na,6,26092913,26092913,HFE,"Pathogenic/Pathogenic, low penetrance; other; risk factor",Hemochromatosis type 1|not provided|Hereditary cancer-predisposing syndrome|Hereditary hemochromatosis|Porphyrinuria;Cutaneous photosensitivity|Bronze diabetes|7 conditions|Cardiomyopathy|HFE-related disorder|Inborn genetic diseases|6 conditions|Juvenile hemochromatosis,single nucleotide variant,GRCh38
na,na,6,26091179,26091179,HFE,Conflicting classifications of pathogenicity; other,Hemochromatosis type 1|not provided|Hereditary hemochromatosis|6 conditions|not specified|Bronze diabetes|Cystic fibrosis|Cardiomyopathy|Variegate porphyria|See cases,single nucleotide variant,GRCh37
na,na,6,26090951,26090951,HFE,Conflicting classifications of pathogenicity; other,Hemochromatosis type 1|not provided|Hereditary hemochromatosis|6 conditions|not specified|Bronze diabetes|Cystic fibrosis|Cardiomyopathy|Variegate porphyria|See cases,single nucleotide variant,GRCh38
na,na,6,26091185,26091185,HFE,Conflicting classifications of pathogenicity,Hemochromatosis type 1|Hereditary hemochromatosis|6 conditions|not provided|not specified|6 conditions|HFE-related disorder,single nucleotide variant,GRCh37
na,na,6,26090957,26090957,HFE,Conflicting classifications of pathogenicity,Hemochromatosis type 1|Hereditary hemochromatosis|6 conditions|not provided|not specified|6 conditions|HFE-related disorder,single nucleotide variant,GRCh38
